I0224 01:03:58.134252   11295 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0224 01:03:58.134299   11295 serve.go:44] Command line: ["/home/leozhontai561/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0224 01:03:58.136081   11295 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0224 01:03:58.269998   11295 configuration.go:182] product updateChannel will be used
W0224 01:03:58.270057   11295 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 01:03:58.270073   11295 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0224 01:03:58.270091   11295 configuration.go:642] language thresholds: map[]
I0224 01:03:58.270109   11295 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0224 01:03:58.270131   11295 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc00150b021 StopSequences:map[] DataFilePromptLines:0}
I0224 01:03:58.270165   11295 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc00150b031 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0224 01:03:58.270326   11295 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0224 01:03:58.270377   11295 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0224 01:03:58.270389   11295 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0224 01:03:58.270438   11295 configuration.go:284] Configured settings for canCancelRequests: true
I0224 01:03:58.270449   11295 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0224 01:03:58.271303   11295 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
E0224 01:05:07.596597   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:05:07.596654   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:05:07.596752   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
W0224 01:05:07.596795   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:05:07.596833   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:05:07.596842   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
I0224 01:05:08.097693   11295 handler.go:159] cancel was requested for: 4, needs to be canceled: false
I0224 01:05:08.097735   11295 handler.go:163] cancel requested for 4 but not found
I0224 01:05:58.271600   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
I0224 01:06:10.419504   11295 handler.go:159] cancel was requested for: 8, needs to be canceled: false
I0224 01:06:10.419532   11295 handler.go:163] cancel requested for 8 but not found
W0224 01:06:13.471296   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:06:13.471343   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:06:13.471357   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
E0224 01:06:13.475813   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:06:13.475860   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:06:13.475937   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:06:13.475961   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:06:13.476034   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:06:13.476076   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:06:13.476164   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:06:13.476213   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
